+-------+-----+-----+-----+-----+--------+------------------------------------------+---------+--------+--------+--------+--------+--------+--------+--------+------------+------------+------------+------------+
| COUNT | 2XX | 3XX | 4XX | 5XX | METHOD |                   URI                    |   SUM   |  AVG   |  MIN   |  MAX   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  | SUM(BODY)  | AVG(BODY)  |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/3349025359/gacha/index             | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 8663.000   | 8663.000   | 8663.000   | 8663.000   |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/6479030111/gacha/index             | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 8663.000   | 8663.000   | 8663.000   | 8663.000   |
| 2     | 1   | 0   | 1   | 0   | POST   | /user/3700544641/card/addexp/91651784505 | 0.016   | 0.008  | 0.000  | 0.016  | 0.016  | 0.016  | 0.016  | 0.008  | 46.000     | 331.000    | 377.000    | 188.500    |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1478/card                          | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 171.000    | 171.000    | 171.000    | 171.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1706/item                          | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 1181.000   | 1181.000   | 1181.000   | 1181.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1706/card/addexp/1708              | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 303.000    | 303.000    | 303.000    | 303.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1688185485/present/index/1         | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 7435.000   | 7435.000   | 7435.000   | 7435.000   |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1478/gacha/index                   | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 8663.000   | 8663.000   | 8663.000   | 8663.000   |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1688185485/gacha/index             | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 8663.000   | 8663.000   | 8663.000   | 8663.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1706/card                          | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 171.000    | 171.000    | 171.000    | 171.000    |
